n,TempoIJ,TempoJI
0,0.000003,0.000000
1000,0.005781,0.015974
2000,0.018223,0.082244
3000,0.040465,0.205841
4000,0.073419,0.383536
5000,0.112190,0.616097
6000,0.169505,0.938186
7000,0.224531,1.363660
8000,0.305467,1.798054
9000,0.394458,2.362555
10000,0.474690,3.012089
11000,0.621171,4.648486
12000,0.775599,6.033293
13000,0.890510,8.140488
14000,1.124490,10.653333
15000,1.164927,12.518051
16000,1.321217,15.383324
